CLASS1,Math Group A,T1,C1
CLASS2,Physics Lab,T2,C2
CLASS3,Chemistry 101,T3,C3
CLASS4,Biology Advanced,T4,C4
CLASS5,History Seminar,T5,C5
CLASS6,Geography Field,T6,C6
CLASS7,Lit Workshop,T7,C7
CLASS8,English Business,T8,C8
CLASS9,IT Logic,T9,C9
CLASS10,PE Yoga,T10,C10
CLASS11,Class 11,T11,C11
CLASS12,Class 12,T12,C12
CLASS13,Class 13,T13,C13
CLASS14,Class 14,T14,C14
CLASS15,Class 15,T15,C15
CLASS16,Class 16,T16,C16
CLASS17,Class 17,T17,C17
CLASS18,Class 18,T18,C18
CLASS19,Class 19,T19,C19
CLASS20,Class 20,T20,C20
CLASS21,Class 21,T21,C21
CLASS22,Class 22,T22,C22
CLASS23,Class 23,T23,C23
CLASS24,Class 24,T24,C24
CLASS25,Class 25,T25,C25
CLASS26,Class 26,T26,C26
CLASS27,Class 27,T27,C27
CLASS28,Class 28,T28,C28
CLASS29,Class 29,T29,C29
CLASS30,Class 30,T30,C30
CLASS31,Class 31,T31,C31
CLASS32,Class 32,T32,C32
CLASS33,Class 33,T33,C33
CLASS34,Class 34,T34,C34
CLASS35,Class 35,T35,C35
CLASS36,Class 36,T36,C36
CLASS37,Class 37,T37,C37
CLASS38,Class 38,T38,C38
CLASS39,Class 39,T39,C39
CLASS40,Class 40,T40,C40
CLASS41,Class 41,T41,C41
CLASS42,Class 42,T42,C42
CLASS43,Class 43,T43,C43
CLASS44,Class 44,T44,C44
CLASS45,Class 45,T45,C45
CLASS46,Class 46,T46,C46
CLASS47,Class 47,T47,C47
CLASS48,Class 48,T48,C48
CLASS49,Class 49,T49,C49
CLASS50,Class 50,T50,C50
CLASS51,Class 51,T51,C51
CLASS52,Class 52,T52,C52
CLASS53,Class 53,T53,C53
CLASS54,Class 54,T54,C54
CLASS55,Class 55,T55,C55
CLASS56,Class 56,T56,C56
CLASS57,Class 57,T57,C57
CLASS58,Class 58,T58,C58
CLASS59,Class 59,T59,C59
CLASS60,Class 60,T60,C60
CLASS61,Class 61,T61,C61
CLASS62,Class 62,T62,C62
CLASS63,Class 63,T63,C63
CLASS64,Class 64,T64,C64
CLASS65,Class 65,T65,C65
CLASS66,Class 66,T66,C66
CLASS67,Class 67,T67,C67
CLASS68,Class 68,T68,C68
CLASS69,Class 69,T69,C69
CLASS70,Class 70,T70,C70
CLASS71,Class 71,T71,C71
CLASS72,Class 72,T72,C72
CLASS73,Class 73,T73,C73
CLASS74,Class 74,T74,C74
CLASS75,Class 75,T75,C75
CLASS76,Class 76,T76,C76
CLASS77,Class 77,T77,C77
CLASS78,Class 78,T78,C78
CLASS79,Class 79,T79,C79
CLASS80,Class 80,T80,C80
CLASS81,Class 81,T81,C81
CLASS82,Class 82,T82,C82
CLASS83,Class 83,T83,C83
CLASS84,Class 84,T84,C84
CLASS85,Class 85,T85,C85
CLASS86,Class 86,T86,C86
CLASS87,Class 87,T87,C87
CLASS88,Class 88,T88,C88
CLASS89,Class 89,T89,C89
CLASS90,Class 90,T90,C90
CLASS91,Class 91,T91,C91
CLASS92,Class 92,T92,C92
CLASS93,Class 93,T93,C93
CLASS94,Class 94,T94,C94
CLASS95,Class 95,T95,C95
CLASS96,Class 96,T96,C96
CLASS97,Class 97,T97,C97
CLASS98,Class 98,T98,C98
CLASS99,Class 99,T99,C99
CLASS100,Class 100,T100,C100
