SEM1,Semester 1 2024,01/01/2024,31/05/2024
SEM2,Semester 2 2024,01/08/2024,31/12/2024
SEM3,Semester 1 2025,01/01/2025,31/05/2025
SEM4,Semester 2 2025,01/08/2025,31/12/2025
SEM5,Semester 1 2026,01/01/2026,31/05/2026
SEM6,Semester 6,01/01/2026,31/05/2026
SEM7,Semester 7,01/01/2026,31/05/2026
SEM8,Semester 8,01/01/2026,31/05/2026
SEM9,Semester 9,01/01/2026,31/05/2026
SEM10,Semester 10,01/01/2026,31/05/2026
SEM11,Semester 11,01/01/2026,31/05/2026
SEM12,Semester 12,01/01/2026,31/05/2026
SEM13,Semester 13,01/01/2026,31/05/2026
SEM14,Semester 14,01/01/2026,31/05/2026
SEM15,Semester 15,01/01/2026,31/05/2026
SEM16,Semester 16,01/01/2026,31/05/2026
SEM17,Semester 17,01/01/2026,31/05/2026
SEM18,Semester 18,01/01/2026,31/05/2026
SEM19,Semester 19,01/01/2026,31/05/2026
SEM20,Semester 20,01/01/2026,31/05/2026
SEM21,Semester 21,01/01/2026,31/05/2026
SEM22,Semester 22,01/01/2026,31/05/2026
SEM23,Semester 23,01/01/2026,31/05/2026
SEM24,Semester 24,01/01/2026,31/05/2026
SEM25,Semester 25,01/01/2026,31/05/2026
SEM26,Semester 26,01/01/2026,31/05/2026
SEM27,Semester 27,01/01/2026,31/05/2026
SEM28,Semester 28,01/01/2026,31/05/2026
SEM29,Semester 29,01/01/2026,31/05/2026
SEM30,Semester 30,01/01/2026,31/05/2026
SEM31,Semester 31,01/01/2026,31/05/2026
SEM32,Semester 32,01/01/2026,31/05/2026
SEM33,Semester 33,01/01/2026,31/05/2026
SEM34,Semester 34,01/01/2026,31/05/2026
SEM35,Semester 35,01/01/2026,31/05/2026
SEM36,Semester 36,01/01/2026,31/05/2026
SEM37,Semester 37,01/01/2026,31/05/2026
SEM38,Semester 38,01/01/2026,31/05/2026
SEM39,Semester 39,01/01/2026,31/05/2026
SEM40,Semester 40,01/01/2026,31/05/2026
SEM41,Semester 41,01/01/2026,31/05/2026
SEM42,Semester 42,01/01/2026,31/05/2026
SEM43,Semester 43,01/01/2026,31/05/2026
SEM44,Semester 44,01/01/2026,31/05/2026
SEM45,Semester 45,01/01/2026,31/05/2026
SEM46,Semester 46,01/01/2026,31/05/2026
SEM47,Semester 47,01/01/2026,31/05/2026
SEM48,Semester 48,01/01/2026,31/05/2026
SEM49,Semester 49,01/01/2026,31/05/2026
SEM50,Semester 50,01/01/2026,31/05/2026
SEM51,Semester 51,01/01/2026,31/05/2026
SEM52,Semester 52,01/01/2026,31/05/2026
SEM53,Semester 53,01/01/2026,31/05/2026
SEM54,Semester 54,01/01/2026,31/05/2026
SEM55,Semester 55,01/01/2026,31/05/2026
SEM56,Semester 56,01/01/2026,31/05/2026
SEM57,Semester 57,01/01/2026,31/05/2026
SEM58,Semester 58,01/01/2026,31/05/2026
SEM59,Semester 59,01/01/2026,31/05/2026
SEM60,Semester 60,01/01/2026,31/05/2026
SEM61,Semester 61,01/01/2026,31/05/2026
SEM62,Semester 62,01/01/2026,31/05/2026
SEM63,Semester 63,01/01/2026,31/05/2026
SEM64,Semester 64,01/01/2026,31/05/2026
SEM65,Semester 65,01/01/2026,31/05/2026
SEM66,Semester 66,01/01/2026,31/05/2026
SEM67,Semester 67,01/01/2026,31/05/2026
SEM68,Semester 68,01/01/2026,31/05/2026
SEM69,Semester 69,01/01/2026,31/05/2026
SEM70,Semester 70,01/01/2026,31/05/2026
SEM71,Semester 71,01/01/2026,31/05/2026
SEM72,Semester 72,01/01/2026,31/05/2026
SEM73,Semester 73,01/01/2026,31/05/2026
SEM74,Semester 74,01/01/2026,31/05/2026
SEM75,Semester 75,01/01/2026,31/05/2026
SEM76,Semester 76,01/01/2026,31/05/2026
SEM77,Semester 77,01/01/2026,31/05/2026
SEM78,Semester 78,01/01/2026,31/05/2026
SEM79,Semester 79,01/01/2026,31/05/2026
SEM80,Semester 80,01/01/2026,31/05/2026
SEM81,Semester 81,01/01/2026,31/05/2026
SEM82,Semester 82,01/01/2026,31/05/2026
SEM83,Semester 83,01/01/2026,31/05/2026
SEM84,Semester 84,01/01/2026,31/05/2026
SEM85,Semester 85,01/01/2026,31/05/2026
SEM86,Semester 86,01/01/2026,31/05/2026
SEM87,Semester 87,01/01/2026,31/05/2026
SEM88,Semester 88,01/01/2026,31/05/2026
SEM89,Semester 89,01/01/2026,31/05/2026
SEM90,Semester 90,01/01/2026,31/05/2026
SEM91,Semester 91,01/01/2026,31/05/2026
SEM92,Semester 92,01/01/2026,31/05/2026
SEM93,Semester 93,01/01/2026,31/05/2026
SEM94,Semester 94,01/01/2026,31/05/2026
SEM95,Semester 95,01/01/2026,31/05/2026
SEM96,Semester 96,01/01/2026,31/05/2026
SEM97,Semester 97,01/01/2026,31/05/2026
SEM98,Semester 98,01/01/2026,31/05/2026
SEM99,Semester 99,01/01/2026,31/05/2026
SEM100,Semester 100,01/01/2026,31/05/2026
